order,species,latin,sex.studied,sex.diff,incl.sex.analysis,justif.excl.sex.analysis,season.studied,season.diff,incl.season.analysis,justif.excl.season.analysis,study,year
Charadriiforme,Red knot,Calidris canutus,1,0,0,data also used in Reneerkens et al. 2007b,1,1,0,data also used in Reneerkens et al. 2007b,Reneerkens et al. 2002,2002
Charadriiforme,Red knot,Calidris canutus,1,0,1,,1,1,0,data also used in Reneerkens et al. 2007b,Reneerkens et al. 2007a,2007
Charadriiforme,Red knot,Calidris canutus,0,NA,0,,1,1,0,sexes unspecified,Piersma et al. 1999,1999
Charadriiforme,Red knot,Calidris canutus,0,NA,0,,1,1,0,sexes unspecified,Sinninghe Damste et al. 2000,2000
Charadriiforme,Red knot,Calidris canutus,1,0,1,,1,1,1,,Reneerkens et al. 2007b,2007
Charadriiforme,Red phalarope,Phalaropus fulicarius,0,NA,0,data also used in Reneerkens et al. 2007a,1,1,0,data also used in Reneerkens et al. 2007a,Reneerkens et al. 2002,2002
Charadriiforme,Red phalarope,Phalaropus fulicarius,1,1,1,,1,1,1,,Reneerkens et al. 2007a,2007
Charadriiforme,Redshank,Tringa totanus,1,0,1,,1,1,1,,Reneerkens et al. 2002,2002
Charadriiforme,Ruddy turnstone,Arenaria interpres,1,0,1,,1,1,1,,Reneerkens et al. 2002,2002
Charadriiforme,Ruff,Philomachus pugnax,1,1,0,data also used in Reneerkens et al. 2002,1,1,0,data also used in Reneerkens et al. 2002,Reneerkens et al. 2007a,2007
Charadriiforme,Ruff,Philomachus pugnax,1,1,1,,1,1,1,,Reneerkens et al. 2002,2002
Charadriiforme,Sanderling,Calidris alba,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2002,2002
Charadriiforme,Semipalmated plover,Charadrius semipalmatus,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2006,2006
Charadriiforme,Semipalmated sandpiper,Calidris pusilla,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2002,2002
Charadriiforme,Short-billed dowitcher,Limnodromus griseus,1,0,1,,1,1,1,,Reneerkens et al. 2002,2002
Charadriiforme,Temminck's stint,Calidris temminckii,1,0,0,data also used in Reneerkens et al. 2007a,1,1,0,data also used in Reneerkens et al. 2007a,Reneerkens et al. 2002,2002
Charadriiforme,Temminck's stint,Calidris temminckii,1,0,1,,1,1,1,,Reneerkens et al. 2007a,2007
Charadriiforme,Western sandpiper,Calidris mauri,1,0,0,data also used in Reneerkens et al. 2002,1,1,0,data also used in Reneerkens et al. 2002,Reneerkens et al. 2007a,2007
Charadriiforme,Western sandpiper,Calidris mauri,1,0,1,,1,1,1,,Reneerkens et al. 2002,2002
Charadriiforme,White-rumped sandpiper,Calidris fuscicollis,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2002,2002
Columbiforme,Feral pigeon,Columba livia,1,0,1,,0,NA,0,,Montalti et al. 2005,2005
Gruiforme,Common moorhen,Gallinula chloropus,1,0,0,sampling period unclear,1,1,1,,Lopez-Perea et al. 2019,2019
Passeriforme,American goldfinch,Carduelis tristis,0,NA,0,,1,1,0,sexes unspecified,Haribal et al. 2005,2005
Passeriforme,Bengalese finches,Lonchura striata,1,1,1,,0,NA,0,,Zhang et al. 2009,2009
